country,time,population
afg,1800,3280000
alb,1800,410445
dza,1800,2503218
and,1800,2654
ago,1800,1567028
atg,1800,37000
arg,1800,534000
arm,1800,413326
abw,1800,19286
aus,1800,351014
aut,1800,3205587
aze,1800,879960
bhs,1800,27350
bhr,1800,64474
bgd,1800,19227357
brb,1800,81729
blr,1800,2355081
bel,1800,3138137
blz,1800,25526
ben,1800,636559
bmu,1800,9692
btn,1800,89989
bol,1800,1100000
bih,1800,851806
bwa,1800,121000
bra,1800,3639636
brn,1800,2128
bgr,1800,1992320
bfa,1800,1665421
bdi,1800,899097
khm,1800,2090000
cmr,1800,1860054
can,1800,645526
cpv,1800,55716
cym,1800,2439
caf,1800,479444
tcd,1800,1432000
chl,1800,771447
chn,1800,321675014
col,1800,1206000
com,1800,56346
cod,1800,5163819
cog,1800,314465
cri,1800,51987
civ,1800,1088530
cub,1800,345043
cyp,1800,184392
cze,1800,5516349
dnk,1800,1062514
dji,1800,22848
dma,1800,19950
dom,1800,89000
ecu,1800,500000
egy,1800,4243515
slv,1800,248000
gnq,1800,80377
eri,1800,205010
est,1800,334136
eth,1800,2948990
fji,1800,130533
fin,1800,977662
fra,1800,29355111
gab,1800,158227
gmb,1800,103274
geo,1800,1072178
deu,1800,22886919
gha,1800,2016034
grc,1800,2151155
grl,1800,9584
grd,1800,29409
gtm,1800,458965
gin,1800,983959
gnb,1800,218167
guy,1800,166034
hti,1800,723000
hnd,1800,126118
hkg,1800,20000
hun,1800,3499771
isl,1800,61428
ind,1800,168574895
idn,1800,16108545
irn,1800,6269721
irq,1800,1076920
irl,1800,4064749
isr,1800,209954
ita,1800,18822234
jam,1800,401000
jpn,1800,30294378
jor,1800,217000
kaz,1800,2041282
ken,1800,2574000
kir,1800,17876
kwt,1800,81280
kgz,1800,530343
lao,1800,470000
lva,1800,590588
lbn,1800,332000
lso,1800,276361
lbr,1800,313543
lby,1800,531472
ltu,1800,778655
lux,1800,127030
mac,1800,17311
mkd,1800,391865
mdg,1800,1543133
mwi,1800,737000
mys,1800,287000
mdv,1800,42378
mli,1800,1403398
mlt,1800,134072
mhl,1800,5828
mrt,1800,382696
mus,1800,62865
mex,1800,6181708
fsm,1800,16416
mda,1800,712558
mco,1800,7789
mng,1800,619000
mne,1800,126582
mar,1800,2503218
moz,1800,1982324
mmr,1800,3506000
nam,1800,229000
nru,1800,1834
npl,1800,3881000
nld,1800,2254522
nzl,1800,100000
nic,1800,219387
ner,1800,1244861
nga,1800,12100855
prk,1800,4345000
nor,1800,868570
omn,1800,318000
pak,1800,13123633
plw,1800,3875
pan,1800,78842
png,1800,754894
pry,1800,143000
per,1800,1314151
phl,1800,1894389
pol,1800,9508747
prt,1800,3033454
pri,1800,155000
qat,1800,14092
rou,1800,5464085
rus,1800,31088398
rwa,1800,928368
wsm,1800,47300
smr,1800,5492
stp,1800,22731
sau,1800,2091000
sen,1800,1009886
srb,1800,2147197
syc,1800,12522
sle,1800,794264
sgp,1800,30000
svk,1800,2140651
svn,1800,469664
slb,1800,56998
som,1800,991488
zaf,1800,1440820
kor,1800,9395000
ssd,1800,1027378
esp,1800,11549294
lka,1800,1213000
kna,1800,17202
lca,1800,24000
vct,1800,25781
sdn,1800,3994154
sur,1800,80721
swz,1800,86000
swe,1800,2354189
che,1800,1826051
syr,1800,1337000
twn,1800,2000000
tjk,1800,466629
tza,1800,3019768
tha,1800,4665000
tls,1800,137262
tgo,1800,445985
ton,1800,18658
tto,1800,60000
tun,1800,862029
tur,1800,9773456
tkm,1800,367215
tca,1800,3296
tuv,1800,2499
uga,1800,2101397
ukr,1800,11215490
are,1800,40153
gbr,1800,12327466
usa,1800,6801854
ury,1800,55000
uzb,1800,1919159
vut,1800,27791
ven,1800,718000
vnm,1800,6551000
pse,1800,165944
yem,1800,2593000
zmb,1800,747000
zwe,1800,1085814
hrv,1800,1227886
guf,1800,9899
pyf,1800,62530
glp,1800,80726
gum,1800,6053
mtq,1800,84039
myt,1800,8219
ant,1800,42536
ncl,1800,29432
reu,1800,92744
vir,1800,40000
esh,1800,2788
akr_a_dhe,1800,3710
asm,1800,8170
aia,1800,2025
vgb,1800,6700
chanisl,1800,43908
cxr,1800,0
cck,1800,0
cok,1800,16136
cheslo,1800,7007842
deu_east,1800,5773904
eri_a_eth,1800,3034180
fro,1800,13537
flk,1800,100
gib,1800,9873
gbg,1800,19488
hos,1800,905
gbm,1800,23533
jey,1800,24420
kos,1800,383778
lie,1800,5802
msr,1800,5230
niu,1800,4538
nfk,1800,1121
yem_north,1800,1782615
mnp,1800,3360
pcn,1800,34
scg,1800,2273780
scg_ex_kos,1800,1814128
yem_south,1800,551928
stbar,1800,2515
shn,1800,1997
stmar,1800,5380
spm,1800,1782
sjm,1800,50
tkl,1800,1009
ussr,1800,48539653
korea_union,1800,13740000
wlf,1800,3721
deu_west,1800,14747000
yug,1800,4687422
ala,1800,7135
afg,1801,3280000
alb,1801,411733
dza,1801,2512195
and,1801,2654
ago,1801,1567028
atg,1801,37000
arg,1801,534000
arm,1801,413326
abw,1801,19286
aus,1801,350143
aut,1801,3213566
aze,1801,879960
bhs,1801,27350
bhr,1801,64474
bgd,1801,19265271
brb,1801,81729
blr,1801,2355081
bel,1801,3152306
blz,1801,25526
ben,1801,636559
bmu,1801,9706
btn,1801,89989
bol,1801,1100000
bih,1801,851806
bwa,1801,121000
bra,1801,3678743
brn,1801,2128
bgr,1801,2001629
bfa,1801,1665421
bdi,1801,899097
khm,1801,2090000
cmr,1801,1860054
can,1801,653134
cpv,1801,55716
cym,1801,2439
caf,1801,479444
tcd,1801,1432000
chl,1801,771447
chn,1801,324408863
col,1801,1206000
com,1801,56346
cod,1801,5163819
cog,1801,314465
cri,1801,53000
civ,1801,1088530
cub,1801,355457
cyp,1801,184412
cze,1801,5516349
dnk,1801,1066957
dji,1801,22848
dma,1801,19950
dom,1801,89000
ecu,1801,500000
egy,1801,4241026
slv,1801,248000
gnq,1801,80377
eri,1801,205010
est,1801,334136
eth,1801,2948990
fji,1801,130746
fin,1801,986439
fra,1801,29447067
gab,1801,158227
gmb,1801,103274
geo,1801,1072178
deu,1801,22983824
gha,1801,2016034
grc,1801,2158925
grl,1801,9584
grd,1801,29409
gtm,1801,464961
gin,1801,983959
gnb,1801,218167
guy,1801,166034
hti,1801,723000
hnd,1801,130000
hkg,1801,20000
hun,1801,3529548
isl,1801,61428
ind,1801,168907300
idn,1801,16150710
irn,1801,6283925
irq,1801,1077718
irl,1801,4109205
isr,1801,209954
ita,1801,18887712
jam,1801,401000
jpn,1801,30329275
jor,1801,217000
kaz,1801,2041282
ken,1801,2574000
kir,1801,17876
kwt,1801,81280
kgz,1801,530343
lao,1801,470000
lva,1801,590588
lbn,1801,332000
lso,1801,276361
lbr,1801,313543
